Ngày tháng năm,Tên chứng khoán/cổ phiếu,Độ giao động,Giá trị thay đổi,% thay đổi,Giá trị
17/09/2024 10:01,AAV,Bất thường,,"29,17%",
03/04/2025 09:53,ABB,Bất thường,,"18,3%",
19/12/2024 16:53,ABI,Tăng nhẹ,,"+2,8%",
11/04/2025 17:11,ACB,Tăng nhẹ,,"+6,7%",
31/12/2024 18:25,ACB,Tăng nhẹ,"+0,43","+1,57%","0,43"
18/12/2024 16:12,ACB,Giảm nhẹ,,"-0,2%",
28/11/2024 16:19,ACB,Tăng nhẹ,,"+0,4%",
31/10/2024 16:50,ACB,Tăng nhẹ,,"+1,2%",
11/10/2024 16:10,ACB,Giảm nhẹ,,"-0,38%",
09/10/2024 15:52,ACB,Tăng nhẹ,,"+2,94%",
04/10/2024 15:53,ACB,Giảm nhẹ,,"-1,17%",
26/09/2024 16:11,ACB,Giảm nhẹ,,"-0,76%",
12/09/2024 16:31,ACB,Tăng nhẹ,,"+1,24%",
30/08/2024 15:52,ACB,Tăng nhẹ,,"+0,61%",
29/08/2024 21:51,ACB,Tăng nhẹ,,"+0,61%",
21/08/2024 16:34,ACB,Tăng nhẹ,,"+1,24%",
07/02/2025 15:28,ACV,Bất thường,,"19,76%",
08/11/2024 11:21,ACV,Bất thường,,"13,7%",
25/09/2024 16:05,ACV,Giảm nhẹ,,"-0,19%",
05/11/2024 17:14,AFC,Giảm nhẹ,,"-3,6%",
25/10/2024 17:15,AGG,Giảm nhẹ,,"-0,7%",
04/02/2025 16:15,AGR,Tăng nhẹ,,"+2,7%",
27/11/2024 18:37,AGR,Giảm nhẹ,,"-1,45%",
26/11/2024 16:03,AGR,Tăng nhẹ,,"+1,8%",
18/11/2024 16:29,AGR,Tăng nhẹ,,"+3,4%",
15/11/2024 18:25,AGR,Bất thường,,"4,1%",
14/11/2024 16:35,AGR,Giảm nhẹ,,"-4,2%",
07/11/2024 16:50,AGR,Giảm nhẹ,,"-0,8%",
06/11/2024 17:13,AGR,Tăng nhẹ,,"+3,7%",
22/10/2024 15:37,AGR,Giảm nhẹ,,"-1,9%",
11/10/2024 16:10,AGR,Tăng nhẹ,,"+1,4%",
30/09/2024 16:19,AGR,Tăng nhẹ,,"+1,6%",
17/09/2024 15:48,AGR,Tăng nhẹ,,"+3,1%",
27/08/2024 19:24,AGR,Giảm nhẹ,,"-1,6%",
13/08/2024 16:36,AGR,Giảm nhẹ,,"-1,44%",
25/12/2024 09:05,AIG,Giảm nhẹ,,"-8,1%",
17/02/2025 15:54,AMC,Tăng nhẹ,,"+9,3%",
11/02/2025 17:42,AMC,Giảm nhẹ,,"-6,4%",
28/03/2025 16:53,ANV,Giảm nhẹ,,"-1,2%",
10/01/2025 16:42,ANV,Giảm nhẹ,,"-3,5%",
16/09/2024 08:07,ANV,Tăng nhẹ,,"+27,2%",
15/04/2025 08:30,APG,Bất thường,,"5,25%",
07/02/2025 17:22,APG,Tăng nhẹ,,"+1,76%",
13/01/2025 15:22,APG,Bất thường,,"45,1%",
26/12/2024 17:40,APG,Giảm nhẹ,,"-6,8%",
15/10/2024 17:49,APG,Giảm nhẹ,,"-3,94%",
11/10/2024 16:10,APG,Bất thường,,"3,5%",
10/09/2024 16:33,APG,Giảm nhẹ,,"-3,2%",
21/08/2024 16:34,AST,Giảm nhẹ,,"-0,2%",
11/11/2024 15:57,ATC,Giảm nhẹ,,"-0,22%",
04/03/2025 16:43,ATS,Tăng nhẹ,,"+62,75%",
10/11/2024 09:06,BAF,Bất thường,,"24,39%",
09/10/2024 18:15,BAF,Giảm nhẹ,,"-25,3%",
12/09/2024 16:37,BAF,Giảm nhẹ,,"-35,3%",
28/08/2024 15:04,BBC,Bất thường,,"98,3%",
16/01/2025 07:33,BCE,Tăng nhẹ,,"+59,6%",
21/11/2024 08:47,BCG,Bất thường,,"54,7%",
26/03/2025 11:41,BCM,Bất thường,,"19,44%",
02/03/2025 08:28,BCM,Giảm nhẹ,,"-60,7%",
07/02/2025 17:22,BCM,Giảm nhẹ,,"-1,1%",
05/12/2024 16:10,BCM,Tăng nhẹ,,"+4,29%",
21/11/2024 16:00,BCM,Giảm nhẹ,,"-0,3%",
14/11/2024 16:35,BCM,Tăng nhẹ,,"+1,03%",
04/11/2024 18:05,BCM,Tăng nhẹ,,"+0,15%",
22/10/2024 15:37,BCM,Giảm nhẹ,,"-2,3%",
21/08/2024 16:34,BCM,Giảm nhẹ,,"-0,69%",
12/08/2024 17:39,BCM,Giảm nhẹ,,"-3,7%",
24/12/2024 16:29,BDC,Tăng nhẹ,,"+3,4%",
23/12/2024 15:47,BFC,Tăng nhẹ,,"+3,8%",
11/12/2024 15:54,BFC,Giảm nhẹ,,"-0,6%",
02/12/2024 15:57,BFC,Tăng nhẹ,,"+0,5%",
27/11/2024 18:37,BFC,Giảm nhẹ,,"-3,72%",
21/11/2024 16:00,BFC,Tăng nhẹ,,"+2,3%",
07/11/2024 16:50,BFC,Giảm nhẹ,,"-0,5%",
30/10/2024 15:57,BFC,Giảm nhẹ,,"-3,4%",
28/10/2024 17:09,BFC,Tăng nhẹ,,"+2,7%",
09/10/2024 15:52,BFC,Tăng nhẹ,,"+2,1%",
12/09/2024 16:31,BFC,Tăng nhẹ,,"+1,7%",
06/09/2024 17:00,BFC,Tăng nhẹ,,"+1,58%",
30/08/2024 15:52,BFC,Tăng nhẹ,,"+0,7%",
26/08/2024 15:52,BFC,Giảm nhẹ,,"-2,4%",
24/03/2025 16:33,BID,Giảm nhẹ,,"-0,89%",
19/02/2025 18:19,BID,Tăng nhẹ,"+0,58","+0,86%","0,58"
10/01/2025 16:42,BID,Giảm nhẹ,,"-2,13%",
08/01/2025 16:08,BID,Giảm nhẹ,,"-0,12%",
