Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
31/12/2024,"29,400.00","29,450.00","29,700.00","29,400.00",4.04M,-0.68%
30/12/2024,"29,600.00","29,700.00","30,200.00","29,550.00",8.70M,0.51%
27/12/2024,"29,450.00","29,400.00","29,650.00","29,250.00",7.83M,0.51%
26/12/2024,"29,300.00","29,600.00","29,650.00","29,250.00",3.74M,-0.68%
25/12/2024,"29,500.00","28,950.00","30,250.00","28,950.00",10.11M,2.08%
24/12/2024,"28,900.00","29,150.00","29,250.00","28,650.00",9.32M,-1.03%
23/12/2024,"29,200.00","29,500.00","29,600.00","29,200.00",5.10M,-0.34%
20/12/2024,"29,300.00","29,500.00","29,550.00","29,300.00",3.56M,-0.68%
19/12/2024,"29,500.00","29,400.00","29,550.00","29,000.00",10.26M,-0.84%
18/12/2024,"29,750.00","29,500.00","29,750.00","29,300.00",5.23M,0.85%
17/12/2024,"29,500.00","29,750.00","29,900.00","29,350.00",6.12M,-0.34%
16/12/2024,"29,600.00","29,400.00","29,700.00","29,350.00",5.48M,0.68%
13/12/2024,"29,400.00","29,250.00","29,550.00","29,150.00",5.27M,0.34%
12/12/2024,"29,300.00","29,450.00","30,000.00","29,300.00",8.19M,-0.34%
11/12/2024,"29,400.00","29,550.00","29,850.00","29,200.00",5.47M,-0.51%
10/12/2024,"29,550.00","29,500.00","29,800.00","29,300.00",6.64M,-0.17%
9/12/2024,"29,600.00","29,300.00","29,750.00","29,150.00",7.99M,1.20%
6/12/2024,"29,250.00","29,350.00","29,800.00","29,150.00",15.58M,1.04%
5/12/2024,"28,950.00","27,200.00","28,950.00","27,000.00",14.90M,6.83%
4/12/2024,"27,100.00","27,550.00","27,550.00","27,000.00",7.92M,-1.63%
3/12/2024,"27,550.00","28,000.00","28,000.00","27,500.00",8.78M,-1.78%
2/12/2024,"28,050.00","28,400.00","28,500.00","27,900.00",3.08M,-0.36%
29/11/2024,"28,150.00","28,100.00","28,400.00","27,900.00",4.15M,0.00%
28/11/2024,"28,150.00","28,300.00","28,500.00","27,900.00",5.48M,0.00%
27/11/2024,"28,150.00","28,350.00","28,450.00","28,000.00",3.88M,-0.53%
26/11/2024,"28,300.00","27,950.00","28,750.00","27,900.00",9.11M,1.62%
25/11/2024,"27,850.00","27,700.00","27,950.00","27,600.00",3.33M,0.54%
22/11/2024,"27,700.00","28,050.00","28,200.00","27,650.00",4.72M,-1.25%
21/11/2024,"28,050.00","27,750.00","28,200.00","27,500.00",7.16M,1.26%
20/11/2024,"27,700.00","26,900.00","28,150.00","26,700.00",11.99M,2.59%
19/11/2024,"27,000.00","27,400.00","27,500.00","26,750.00",3.79M,-1.28%
