"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/02/2025","29,150.0","28,650.0","29,150.0","28,600.0","7.65M","2.10%"
"03/02/2025","28,550.0","28,451.7","28,844.8","28,206.0","5.71M","-2.39%"
"24/01/2025","29,250.0","29,350.0","29,400.0","29,000.0","5.09M","-0.17%"
"23/01/2025","29,300.0","28,800.0","29,400.0","28,800.0","7.70M","1.91%"
"22/01/2025","28,750.0","28,700.0","28,850.0","28,650.0","4.54M","0.17%"
"21/01/2025","28,700.0","28,500.0","28,900.0","28,450.0","5.71M","1.06%"
"20/01/2025","28,400.0","28,700.0","28,700.0","28,400.0","3.88M","-0.35%"
"17/01/2025","28,500.0","28,250.0","28,600.0","28,150.0","3.91M","0.88%"
"16/01/2025","28,250.0","28,100.0","28,950.0","28,100.0","7.41M","1.25%"
"15/01/2025","27,900.0","27,700.0","28,050.0","27,600.0","4.49M","1.27%"
"14/01/2025","27,550.0","27,800.0","27,850.0","27,550.0","3.46M","-0.90%"
"13/01/2025","27,800.0","27,200.0","27,950.0","26,550.0","7.58M","2.21%"
"10/01/2025","27,200.0","28,050.0","28,300.0","27,200.0","11.04M","-2.86%"
"09/01/2025","28,000.0","28,400.0","28,500.0","28,000.0","3.33M","-1.41%"
"08/01/2025","28,400.0","28,000.0","28,550.0","27,900.0","4.80M","1.07%"
"07/01/2025","28,100.0","28,200.0","28,500.0","28,000.0","5.61M","-0.18%"
"06/01/2025","28,150.0","28,500.0","28,600.0","28,000.0","7.29M","-1.40%"
"03/01/2025","28,550.0","29,300.0","29,350.0","28,550.0","12.21M","-2.56%"
"02/01/2025","29,300.0","29,500.0","29,650.0","29,200.0","4.93M","-0.34%"
"31/12/2024","29,400.0","29,450.0","29,700.0","29,400.0","4.04M","-0.68%"
"30/12/2024","29,600.0","29,700.0","30,200.0","29,550.0","8.70M","0.51%"
"27/12/2024","29,450.0","29,400.0","29,650.0","29,250.0","7.83M","0.51%"
"26/12/2024","29,300.0","29,600.0","29,650.0","29,250.0","3.74M","-0.68%"
"25/12/2024","29,500.0","28,950.0","30,250.0","28,950.0","10.11M","2.08%"
"24/12/2024","28,900.0","29,150.0","29,250.0","28,650.0","9.32M","-1.03%"
"23/12/2024","29,200.0","29,500.0","29,600.0","29,200.0","5.10M","-0.34%"
"20/12/2024","29,300.0","29,500.0","29,550.0","29,300.0","3.56M","-0.68%"
"19/12/2024","29,500.0","29,400.0","29,550.0","29,000.0","10.26M","-0.84%"
"18/12/2024","29,750.0","29,500.0","29,750.0","29,300.0","5.23M","0.85%"
"17/12/2024","29,500.0","29,750.0","29,900.0","29,350.0","6.12M","-0.34%"
"16/12/2024","29,600.0","29,400.0","29,700.0","29,350.0","5.48M","0.68%"
"13/12/2024","29,400.0","29,250.0","29,550.0","29,150.0","5.27M","0.34%"
"12/12/2024","29,300.0","29,450.0","30,000.0","29,300.0","8.19M","-0.34%"
"11/12/2024","29,400.0","29,550.0","29,850.0","29,200.0","5.47M","-0.51%"
"10/12/2024","29,550.0","29,500.0","29,800.0","29,300.0","6.64M","-0.17%"
"09/12/2024","29,600.0","29,300.0","29,750.0","29,150.0","7.99M","1.20%"
"06/12/2024","29,250.0","29,350.0","29,800.0","29,150.0","15.58M","1.04%"
"05/12/2024","28,950.0","27,200.0","28,950.0","27,000.0","14.90M","6.83%"
"04/12/2024","27,100.0","27,550.0","27,550.0","27,000.0","7.92M","-1.63%"
"03/12/2024","27,550.0","28,000.0","28,000.0","27,500.0","8.78M","-1.78%"
"02/12/2024","28,050.0","28,400.0","28,500.0","27,900.0","3.08M","-0.36%"
"29/11/2024","28,150.0","28,100.0","28,400.0","27,900.0","4.15M","0.00%"
"28/11/2024","28,150.0","28,300.0","28,500.0","27,900.0","5.48M","0.00%"
"27/11/2024","28,150.0","28,350.0","28,450.0","28,000.0","3.88M","-0.53%"
"26/11/2024","28,300.0","27,950.0","28,750.0","27,900.0","9.11M","1.62%"
"25/11/2024","27,850.0","27,700.0","27,950.0","27,600.0","3.33M","0.54%"
"22/11/2024","27,700.0","28,050.0","28,200.0","27,650.0","4.72M","-1.25%"
"21/11/2024","28,050.0","27,750.0","28,200.0","27,500.0","7.16M","1.26%"
"20/11/2024","27,700.0","26,900.0","28,150.0","26,700.0","11.99M","2.59%"
"19/11/2024","27,000.0","27,400.0","27,500.0","26,750.0","3.79M","-1.28%"
"18/11/2024","27,350.0","26,400.0","27,800.0","26,350.0","8.60M","3.60%"
"15/11/2024","26,400.0","27,000.0","27,050.0","26,100.0","12.07M","-2.58%"
"14/11/2024","27,100.0","28,150.0","28,250.0","26,800.0","9.90M","-3.21%"
"13/11/2024","28,000.0","28,450.0","28,550.0","27,750.0","8.13M","-1.75%"
"12/11/2024","28,500.0","28,700.0","29,100.0","28,500.0","4.16M","-0.35%"
"11/11/2024","28,600.0","29,100.0","29,150.0","28,250.0","10.67M","-1.72%"
"08/11/2024","29,100.0","29,400.0","29,450.0","29,000.0","5.94M","-0.68%"
"07/11/2024","29,300.0","29,550.0","29,600.0","29,300.0","5.23M","-0.51%"
"06/11/2024","29,450.0","29,200.0","29,500.0","29,000.0","8.45M","1.73%"
"05/11/2024","28,950.0","28,950.0","29,250.0","28,950.0","3.98M","-0.17%"
"04/11/2024","29,000.0","28,450.0","29,250.0","28,200.0","9.68M","2.11%"
"01/11/2024","28,400.0","28,750.0","28,750.0","28,300.0","4.41M","-1.39%"
"31/10/2024","28,800.0","28,500.0","28,900.0","28,400.0","5.14M","1.59%"
"30/10/2024","28,350.0","28,700.0","28,750.0","28,200.0","5.24M","-1.05%"
"29/10/2024","28,650.0","28,900.0","29,000.0","28,500.0","5.35M","-0.17%"
"28/10/2024","28,700.0","28,500.0","29,000.0","28,450.0","4.60M","1.41%"
"25/10/2024","28,300.0","28,250.0","28,450.0","28,200.0","6.45M","0.35%"
"24/10/2024","28,200.0","28,950.0","29,200.0","28,200.0","11.03M","-2.42%"
"23/10/2024","28,900.0","28,900.0","29,350.0","28,700.0","7.44M","0.00%"
"22/10/2024","28,900.0","29,500.0","29,750.0","28,550.0","13.15M","-2.20%"
"21/10/2024","29,550.0","30,300.0","30,450.0","29,500.0","12.90M","-2.96%"
"18/10/2024","30,450.0","30,900.0","31,000.0","30,450.0","11.18M","-0.49%"
"17/10/2024","30,600.0","30,350.0","30,650.0","29,600.0","10.65M","0.99%"
"16/10/2024","30,300.0","30,350.0","30,600.0","30,250.0","4.87M","-0.16%"
"15/10/2024","30,350.0","31,000.0","31,300.0","30,300.0","9.71M","-2.10%"
"14/10/2024","31,000.0","31,400.0","31,550.0","31,000.0","7.39M","-0.64%"
"11/10/2024","31,200.0","30,450.0","31,200.0","30,150.0","11.69M","2.63%"
"10/10/2024","30,400.0","30,850.0","31,050.0","30,400.0","7.36M","-0.82%"
"09/10/2024","30,650.0","30,350.0","30,850.0","30,200.0","8.23M","0.16%"
"08/10/2024","30,600.0","31,300.0","31,350.0","30,100.0","17.12M","-1.61%"
"07/10/2024","31,100.0","30,700.0","31,100.0","30,500.0","8.42M","2.13%"
"04/10/2024","30,450.0","30,350.0","30,800.0","30,250.0","7.39M","0.33%"
"03/10/2024","30,350.0","30,700.0","31,000.0","30,150.0","12.02M","-0.98%"
"02/10/2024","30,650.0","30,800.0","31,050.0","30,300.0","11.17M","-1.13%"
"01/10/2024","31,000.0","31,100.0","31,800.0","30,950.0","11.36M","0.16%"
"30/09/2024","30,950.0","30,800.0","31,450.0","30,600.0","7.16M","0.49%"
"27/09/2024","30,800.0","31,200.0","31,300.0","30,800.0","10.05M","-0.81%"
"26/09/2024","31,050.0","31,250.0","31,350.0","30,800.0","13.39M","-0.48%"
"25/09/2024","31,200.0","30,950.0","31,800.0","30,900.0","16.08M","1.63%"
"24/09/2024","30,700.0","30,500.0","30,800.0","30,450.0","6.48M","0.82%"
"23/09/2024","30,450.0","30,650.0","30,900.0","30,450.0","9.42M","-0.65%"
"20/09/2024","30,650.0","30,900.0","30,950.0","30,500.0","10.91M","0.49%"
"19/09/2024","30,500.0","30,450.0","30,700.0","30,050.0","11.80M","1.16%"
