"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/02/2025","476.81","470.73","479.41","458.66","32.01K","0.70%"
"04/02/2025","473.48","463.19","473.80","447.81","41.01K","2.02%"
"03/02/2025","464.10","462.78","466.19","460.37","28.28K","0.05%"
"24/01/2025","463.85","460.80","465.35","451.38","17.81K","-0.09%"
"23/01/2025","464.29","456.47","464.31","455.89","22.29K","1.15%"
"22/01/2025","459.01","461.80","464.47","456.71","21.98K","-0.60%"
"21/01/2025","461.80","453.48","464.47","443.84","28.33K","0.34%"
"20/01/2025","460.25","461.26","464.27","454.13","21.13K","-0.42%"
"17/01/2025","462.19","455.53","462.19","449.70","23.43K","1.35%"
"16/01/2025","456.04","449.91","460.57","435.42","23.74K","0.79%"
"15/01/2025","452.45","444.97","453.85","439.42","24.98K","0.98%"
"14/01/2025","448.07","451.43","454.45","447.46","15.38K","-0.85%"
"13/01/2025","451.93","446.94","452.44","445.43","25.44K","0.21%"
"10/01/2025","450.98","458.33","461.09","449.79","26.98K","-1.82%"
"09/01/2025","459.34","455.67","462.79","447.20","13.76K","-0.29%"
"08/01/2025","460.66","457.15","461.51","451.74","19.64K","0.77%"
"07/01/2025","457.15","464.52","468.14","456.05","26.04K","-1.83%"
"06/01/2025","465.65","471.50","475.48","463.92","31.87K","-1.77%"
"03/01/2025","474.04","478.16","480.70","468.50","26.40K","-1.10%"
"02/01/2025","479.29","477.20","480.34","469.51","13.46K","0.26%"
"31/12/2024","478.05","480.03","481.25","476.73","17.37K","-0.52%"
"30/12/2024","480.53","482.97","484.66","478.67","16.70K","-0.74%"
"27/12/2024","484.10","486.31","488.25","481.91","23.28K","-0.34%"
"26/12/2024","485.74","485.01","488.19","481.51","17.81K","0.09%"
"25/12/2024","485.30","477.83","489.16","468.99","33.38K","0.79%"
"24/12/2024","481.50","481.03","483.70","474.08","29.11K","-0.25%"
"23/12/2024","482.72","477.89","484.62","477.65","22.87K","0.42%"
"20/12/2024","480.71","483.43","485.00","480.59","23.76K","-0.62%"
"19/12/2024","483.71","483.70","483.74","476.60","37.67K","0.08%"
"18/12/2024","483.34","478.42","483.82","476.67","22.76K","0.71%"
"17/12/2024","479.93","480.59","482.46","478.50","15.82K","-0.14%"
"16/12/2024","480.59","479.76","482.43","477.43","16.34K","0.02%"
"13/12/2024","480.47","484.45","485.10","478.79","19.94K","-0.88%"
"12/12/2024","484.74","484.63","487.61","479.91","26.10K","-0.15%"
"11/12/2024","485.48","487.55","490.28","483.56","27.58K","-0.81%"
"10/12/2024","489.43","488.16","492.36","486.93","23.38K","0.13%"
"09/12/2024","488.80","489.92","493.07","488.56","27.18K","-0.33%"
"06/12/2024","490.43","493.32","496.26","488.72","38.11K","-0.48%"
"05/12/2024","492.81","473.85","492.81","472.65","55.08K","3.14%"
"04/12/2024","477.80","481.85","483.52","476.87","27.49K","-0.90%"
"03/12/2024","482.13","482.24","486.00","480.21","21.78K","0.04%"
"02/12/2024","481.92","484.32","485.03","479.21","19.53K","0.44%"
"29/11/2024","479.79","473.97","479.79","473.97","25.67K","0.88%"
"28/11/2024","475.60","467.71","479.34","467.71","16.72K","0.28%"
"27/11/2024","474.27","474.73","476.77","460.07","16.06K","-0.32%"
"26/11/2024","475.80","471.23","477.92","467.68","25.26K","0.86%"
"25/11/2024","471.74","466.63","472.44","463.06","19.19K","0.81%"
"22/11/2024","467.97","469.34","470.82","465.95","22.73K","-0.39%"
"21/11/2024","469.81","465.93","470.95","460.28","13.90K","0.53%"
"20/11/2024","467.33","459.38","472.53","448.72","31.84K","1.25%"
"19/11/2024","461.57","469.49","471.23","461.57","19.53K","-1.79%"
"18/11/2024","470.00","464.58","472.20","459.89","29.68K","0.08%"
"15/11/2024","469.62","471.60","477.23","466.58","39.10K","-1.46%"
"14/11/2024","476.60","484.18","485.79","476.19","28.14K","-1.66%"
"13/11/2024","484.65","485.54","485.57","479.34","27.18K","-0.39%"
"12/11/2024","486.55","487.13","491.59","484.40","23.09K","-0.21%"
"11/11/2024","487.57","488.10","489.75","483.64","29.33K","-0.20%"
"08/11/2024","488.57","489.81","492.17","486.22","22.71K","-0.29%"
"07/11/2024","489.98","487.54","494.40","487.54","23.67K","-0.26%"
"06/11/2024","491.27","477.00","491.74","477.00","28.62K","1.91%"
